user_id,dependents,income_annum,loan_amount,loan_term,cibil_score,self_employed,education,loan_status
1,2,9600000,29900000,12,778,0.0,1.0,1.0
2,0,4100000,12200000,8,417,1.0,0.0,0.0
3,3,9100000,29700000,20,506,0.0,1.0,0.0
4,3,8200000,30700000,8,467,0.0,1.0,0.0
5,5,9800000,24200000,20,382,1.0,0.0,0.0
6,0,4800000,13500000,10,319,1.0,1.0,0.0
7,5,8700000,33000000,4,678,0.0,1.0,1.0
8,2,5700000,15000000,20,382,1.0,1.0,0.0
9,0,800000,2200000,20,782,1.0,1.0,1.0
10,5,1100000,4300000,10,388,0.0,0.0,0.0
11,4,2900000,11200000,2,547,1.0,1.0,1.0
12,2,6700000,22700000,18,538,1.0,0.0,0.0
13,3,5000000,11600000,16,311,1.0,0.0,0.0
14,2,9100000,31500000,14,679,1.0,1.0,1.0
15,1,1900000,7400000,6,469,0.0,0.0,0.0
16,5,4700000,10700000,10,794,0.0,0.0,1.0
17,2,500000,1600000,4,663,1.0,1.0,1.0
18,4,2900000,9400000,14,780,1.0,0.0,1.0
19,2,2700000,10300000,10,736,0.0,1.0,1.0
20,5,6300000,14600000,12,652,0.0,1.0,1.0
21,2,5000000,19400000,12,315,0.0,1.0,0.0
22,4,5800000,14000000,16,530,0.0,1.0,0.0
23,4,6500000,25700000,18,311,1.0,1.0,0.0
24,0,500000,1400000,2,551,1.0,0.0,1.0
25,0,4900000,9800000,16,324,0.0,0.0,0.0
26,5,3100000,9500000,20,514,0.0,0.0,0.0
27,4,8200000,28100000,12,696,0.0,1.0,1.0
28,4,2400000,5600000,4,662,1.0,0.0,1.0
29,5,7000000,24000000,6,336,1.0,0.0,0.0
30,3,9000000,31500000,10,850,1.0,0.0,1.0
31,2,9800000,25300000,12,313,0.0,0.0,0.0
32,2,5700000,12000000,6,363,0.0,1.0,0.0
33,1,800000,1600000,10,436,1.0,0.0,0.0
34,5,8400000,22000000,2,830,1.0,0.0,1.0
35,3,4900000,11900000,8,612,0.0,1.0,1.0
36,2,1700000,3400000,8,691,1.0,1.0,1.0
37,3,1600000,6200000,18,636,0.0,0.0,1.0
38,5,8000000,27200000,6,348,1.0,1.0,0.0
39,5,3600000,7700000,16,830,0.0,1.0,1.0
40,3,1500000,5100000,6,352,1.0,0.0,0.0
